Name,Movie_url,Poster_url,Year,Category,Run_Time,Rating,Storyline,Index
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR0,0,140,209_AL_.jpg",1991,"Action, Sci-Fi            ",137 min,8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",44
Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_UX140_CR0,0,140,209_AL_.jpg",1977,"Action, Adventure, Fantasy            ",121 min,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",45
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UY209_CR0,0,140,209_AL_.jpg",1999,"Crime, Drama, Fantasy            ",189 min,8.6,"A tale set on death row, where gentle giant John Coffee possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.",46
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY209_CR1,0,140,209_AL_.jpg",1998,"Drama, War            ",169 min,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",47
City of God,https://www.imdb.com/title/tt0317248/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR1,0,140,209_AL_.jpg",2002,"Crime, Drama            ",130 min,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",48
Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",1997,"Comedy, Drama, Romance            ",116 min,8.6,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",49
It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY209_CR2,0,140,209_AL_.jpg",1946,"Drama, Family, Fantasy            ",130 min,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,50
Seven Samurai,https://www.imdb.com/title/tt0047478/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNTkwY2I5NWMtMjNlNi00ZThjLWI4NzQtNDI4M2I4OGM1YjAzXkEyXkFqcGdeQXVyNzYxODE3NTQ@._V1_UY209_CR4,0,140,209_AL_.jpg",1954,"Action, Drama            ",207 min,8.6,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",51
Harakiri,https://www.imdb.com/title/tt0056058/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BM2FiMzJiMTYtY2RiNS00Y2ExLWJkMTYtNzJhMmZmMDlhMDQzXkEyXkFqcGdeQXVyNDI3NjU1NzQ@._V1_UY209_CR2,0,140,209_AL_.jpg",1962,"Action, Drama, Mystery            ",133 min,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",52
Earthlings,https://www.imdb.com/title/tt0358456/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BN2ZjZjk4MjgtNDdlMy00Y2YwLWI2MDQtNGJhYWU3OTkzYWMzXkEyXkFqcGdeQXVyODgyMDUyMDc@._V1_UY209_CR0,0,140,209_AL_.jpg",2005,Documentary            ,95 min,8.6,"Using hidden cameras and never-before-seen footage, Earthlings chronicles the day-to-day practices of the largest industries in the world, all of which rely entirely on animals for profit.",53
"Pretty Village, Pretty Flame",https://www.imdb.com/title/tt0116860/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYTg2ZTNmYmMtNGRkNi00MzM1LTljMWQtZjY4MzAxNGFhMDI2XkEyXkFqcGdeQXVyMjM5MTg4MjQ@._V1_UY209_CR5,0,140,209_AL_.jpg",1996,"Drama, History, War            ",115 min,8.6,"During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.",54
Rurouni Kenshin: Trust and Betrayal,https://www.imdb.com/title/tt0203082/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNWI3MTAxOWYtYjNhYi00N2QwLWIxNDMtOGYzZGE4ZmUzOWE3XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY209_CR3,0,140,209_AL_.jpg",1999,"Animation, Action, Adventure            ",118 min,8.6,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",55
